Country or area,Internet users,Rank,Percentage,Rank
Sweden,"9,002,326",50,91.51%,16
Ecuador,"8,857,767",51,54.06%,104
United Arab Emirates,"8,398,268",52,90.60%,17
Czech Republic,"8,115,252",53,76.48%,52
Iraq,"7,898,106",54,21.23%,169
Hungary,"7,730,451",55,79.26%,43
Greece,"7,726,829",56,69.09%,74
Azerbaijan,"7,605,244",57,78.20%,47
Switzerland,"7,511,995",58,89.41%,21
Austria,"7,346,074",59,84.32%,30
Portugal,"7,303,699",60,70.42%,69
Tanzania,"7,224,386",61,13.00%,184
Yemen,"6,780,200",62,24.58%,161
Belarus,"6,741,258",63,71.11%,67
Sri Lanka,"6,665,916",64,32.05%,138
Israel,"6,535,440",65,79.78%,40
Dominican Republic,"6,530,903",66,61.33%,85
Hong Kong,"6,375,381",67,87.30%,25
Ivory Coast,"6,286,527",68,26.53%,151
Serbia,"5,914,748",69,67.06%,77
Jordan,"5,890,965",70,62.30%,83
Syria,"5,873,785",71,31.87%,139
Cameroon,"5,859,797",72,25.00%,160
Tunisia,"5,801,972",73,50.88%,112
Guatemala,"5,722,610",74,34.51%,135
Nepal,"5,706,708",75,19.69%,173
Denmark,"5,538,800",76,96.97%,8
Norway,"5,112,817",77,97.30%,7
Mozambique,"5,050,924",78,17.52%,178
Democratic Republic of the Congo,"4,889,515",79,6.21%,200
Finland,"4,826,246",80,87.70%,24
Lebanon,"4,571,675",81,76.11%,55
Singapore,"4,554,189",82,81.00%,34
Cuba,"4,449,238",83,38.77%,131
Slovakia,"4,381,507",84,80.48%,36
Bolivia,"4,322,489",85,39.70%,129
Bulgaria,"4,266,773",86,59.83%,89
Zambia,"4,232,464",87,25.51%,156
New Zealand,"4,123,439",88,88.47%,22
Cambodia,"4,030,438",89,25.57%,155
Senegal,"3,954,620",90,25.66%,154
Ireland,"3,883,418",91,82.17%,31
Angola,"3,745,750",92,13.00%,185
Zimbabwe,"3,733,964",93,23.12%,165
Afghanistan,"3,673,539",94,10.6%,192
Paraguay,"3,453,445",95,51.35%,111
Costa Rica,"3,207,258",96,66.03%,81
Kuwait,"3,176,010",97,78.37%,46
Oman,"3,089,369",98,69.82%,72
Croatia,"3,063,044",99,72.70%,65
Puerto Rico,"2,946,059",100,80.32%,37
Palestinian Authority,"2,930,953",101,61.18%,87
Moldova,"2,882,322",102,71.00%,68
Honduras,"2,733,860",103,30.00%,141
Burkina Faso,"2,603,042",104,13.96%,181
Bosnia and Herzegovina,"2,438,208",105,69.33%,73
Qatar,"2,423,068",106,94.29%,12
Rwanda,"2,383,501",107,20.00%,172
Uruguay,"2,286,820",108,66.40%,79
Panama,"2,178,424",109,54.00%,105
Lithuania,"2,163,155",110,74.38%,59
Kyrgyzstan,"2,054,728",111,34.50%,136
Mali,"1,999,226",112,11.11%,190
Georgia,"1,962,702",113,50.00%,113
Albania,"1,941,925",114,66.36%,80
El Salvador,"1,839,969",115,29.00%,145
Armenia,"1,813,386",116,62.00%,84
Tajikistan,"1,788,044",117,20.47%,170
Malawi,"1,738,600",118,9.61%,194
Latvia,"1,574,256",119,79.89%,39
Slovenia,"1,568,786",120,75.50%,57
Nicaragua,"1,511,037",121,24.57%,162
Macedonia,"1,501,798",122,72.16%,66
Laos,"1,478,051",123,21.87%,168
Bahrain,"1,396,668",124,98.00%,3
Haiti,"1,326,629",125,12.23%,186
Benin,"1,303,589",126,11.99%,187
Jamaica,"1,296,610",127,45.00%,124
Libya,"1,275,642",128,20.27%,171
Guinea,"1,214,801",129,9.80%,193
Madagascar,"1,172,533",130,4.71%,203
Estonia,"1,144,974",131,87.24%,26
Turkmenistan,"1,018,691",132,17.99%,177
Trinidad and Tobago,"1,000,517",133,73.30%,63
Gabon,"951,287",134,48.05%,115
Niger,"893,073",135,4.32%,204
Cyprus,"888,125",136,75.90%,56
Botswana,"885,702",137,27.50%,149
Sierra Leone,"870,532",138,11.77%,188
Togo,"860,280",139,11.31%,189
South Sudan,"819,459",140,6.70%,199
Papua New Guinea,"776,159",141,9.60%,195
Mauritania,"774,183",142,18.00%,176
Namibia,"769,455",143,31.03%,140
Chad,"722,627",144,5.00%,202
Mongolia,"674,201",145,22.27%,166
Mauritius,"671,833",146,53.23%,108
Lesotho,"602,965",147,27.36%,150
Luxembourg,"561,295",148,97.49%,6
Burundi,"544,097",149,5.17%,201
Macau,"499,773",150,81.64%,32
Montenegro,"439,276",151,69.88%,71
Fiji,"418,013",152,46.51%,119
Republic of the Congo,"416,217",153,8.12%,196
Swaziland,"383,723",154,28.57%,146
The Gambia,"377,123",155,18.50%,174
Liberia,"337,732",156,7.32%,198
Bhutan,"333,226",157,41.77%,127
Malta,"331,853",158,77.29%,48
Iceland,"326,622",159,98.24%,1
Timor Leste,"320,339",160,25.25%,158
Brunei,"317,397",161,75.00%,58
The Bahamas,"312,986",162,80.00%,38
Equatorial Guinea,"290,470",163,23.78%,164
Guyana,"275,760",164,35.66%,133
Somalia,"269,178",165,1.88%,207
Cabo Verde,"259,906",166,48.17%,114
Suriname,"253,499",167,45.40%,123
Maldives,"252,761",168,59.09%,94
Barbados,"226,715",169,79.55%,42
New Caledonia,"194,707",170,74.00% year 2015,60
French Polynesia,"191,774",171,68.44%,76
Central African Republic,"183,785",172,4.00%,205
Belize,"163,588",173,44.58%,125
Guam,"125,446",174,77.01%,49
Djibouti,"123,728",175,13.13%,183
Aruba,"98,051",176,93.54%,13
Saint Lucia,"83,186",177,46.73%,118
Andorra,"75,681",178,97.93 %,5
Antigua and Barbuda,"73,702",179,73.00%,64
Guinea-Bissau,"68,270",180,3.76%,206
Solomon Islands,"65,936",181,11.00%,191
Vanuatu,"64,896",182,24.00%,163
Comoros,"63,170",183,7.94%,197
U.S. Virgin Islands,"62,539",184,59.61%,91
Saint Vincent and the Grenadines,"60,929",185,55.57%,100
Bermuda,"60,432",186,98.00%,4
Grenada,"59,947",187,55.86%,99
Eritrea,"58,465",188,1.18%,208
Samoa,"57,386",189,29.41%,144
São Tomé and Príncipe,"55,974",190,28.00%,148
Seychelles,"53,248",191,56.51%,98
Dominica,"49,296",192,67.03%,78
Cayman Islands,"48,004",193,79.00%,44
Faroe Islands,"46,715",194,95.11%,10
Tonga,"42,795",195,39.95%,128
Saint Kitts and Nevis,"42,113",196,76.82%,50
Jersey,"38,958",197,41.03% year 2012,-
Greenland,"38,642",198,68.50%,75
Liechtenstein,"36,946",199,98.09%,2
Monaco,"36,654",200,95.21%,9
"Micronesia, Federated States of","34,996",201,33.35%,137
Gibraltar,"32,494",202,94.44%,-
San Marino,"16,484",203,54.21% year 2009,103
Marshall Islands,"15,808",204,29.79%,142
Kiribati,"15,672",205,13.70%,182
British Virgin Islands,"14,456",206,37.60% year 2012,132
Anguilla,"12,043",207,81.57%,33
Tuvalu,"5,106",208,46.01%,121
Saint Helena,"2,906",209,37.6% year 2012,-
Falkland Islands,"2,881",210,99.02%,-
Montserrat,"2,833",211,54.60% year 2013,102
Wallis and Futuna,"1,383",212,8.95% year 2012,-
Niue,"1,034",213,86.90% year 2013,27
Ascension,361,214,41.0% year 2012,-
